Season,Round,Season_Round,Grand_Prix,Driver,Team,Status,Completed_Laps,Max_Laps,Race_Position,Pole_Race_Time,Total_Race_Time,Normalised_Race_Pole_Gap
2018,1,2018-01,Australian Grand Prix,VET,Ferrari,Finished,58,58,1,5373.282999,5373.282999,0.0
2018,1,2018-01,Australian Grand Prix,HAM,Mercedes,Finished,58,58,2,5373.282999,5378.318999,0.0009372296231069388
2018,1,2018-01,Australian Grand Prix,RAI,Ferrari,Finished,58,58,3,5373.282999,5379.591999,0.001174142512347487
2018,1,2018-01,Australian Grand Prix,RIC,Red Bull Racing,Finished,58,58,4,5373.282999,5380.351999,0.0013155830432374227
2018,1,2018-01,Australian Grand Prix,ALO,McLaren,Finished,58,58,5,5373.282999,5401.168999,0.005189750847887531
2018,1,2018-01,Australian Grand Prix,VER,Red Bull Racing,Finished,58,58,6,5373.282999,5402.227999,0.005386837061324812
2018,1,2018-01,Australian Grand Prix,HUL,Alpine,Finished,58,58,7,5373.282999,5405.953999,0.00608026787460858
2018,1,2018-01,Australian Grand Prix,BOT,Mercedes,Finished,58,58,8,5373.282999,5407.621999,0.006390692618719385
2018,1,2018-01,Australian Grand Prix,VAN,McLaren,Finished,58,58,9,5373.282999,5408.203999,0.006499006288427367
2018,1,2018-01,Australian Grand Prix,SAI,Alpine,Finished,58,58,10,5373.282999,5419.004999,0.008509136780718407
2018,1,2018-01,Australian Grand Prix,PER,Force India,Finished,58,58,11,5373.282999,5420.1,0.008712922994882799
2018,1,2018-01,Australian Grand Prix,OCO,Force India,Finished,58,58,12,5373.282999,5433.560999,0.011218095159182706
2018,1,2018-01,Australian Grand Prix,LEC,Kick Sauber,Finished,58,58,13,5373.282999,5449.042,0.014099201738322575
2018,1,2018-01,Australian Grand Prix,STR,Williams,Finished,58,58,14,5373.282999,5451.570999,0.014569863529348748
2018,1,2018-01,Australian Grand Prix,HAR,Racing Bulls,+1 Lap,57,58,15,5373.282999,5490.421438,0.021800161841801557
2018,1,2018-01,Australian Grand Prix,GRO,Haas F1 Team,Wheel,24,58,16,5373.282999,,
2018,1,2018-01,Australian Grand Prix,MAG,Haas F1 Team,Wheel,22,58,17,5373.282999,,
2018,1,2018-01,Australian Grand Prix,GAS,Racing Bulls,Engine,13,58,18,5373.282999,,
2018,1,2018-01,Australian Grand Prix,ERI,Kick Sauber,Steering,5,58,19,5373.282999,,
2018,1,2018-01,Australian Grand Prix,SIR,Williams,Brakes,4,58,20,5373.282999,,
2018,2,2018-02,Bahrain Grand Prix,VET,Ferrari,Finished,56,57,1,5487.060999,5522.649589,0.006485911129197497
2018,2,2018-02,Bahrain Grand Prix,BOT,Mercedes,Finished,56,57,2,5487.060999,5523.415017,0.006625408029293789
2018,2,2018-02,Bahrain Grand Prix,HAM,Mercedes,Finished,56,57,3,5487.060999,5529.596464,0.007751957743453497
2018,2,2018-02,Bahrain Grand Prix,GAS,Racing Bulls,Finished,57,57,4,5487.060999,5487.060999,0.0
2018,2,2018-02,Bahrain Grand Prix,MAG,Haas F1 Team,Finished,57,57,5,5487.060999,5596.985999,0.020033493343710518
2018,2,2018-02,Bahrain Grand Prix,HUL,Alpine,Finished,57,57,6,5487.060999,5620.963999,0.02440341013602776
2018,2,2018-02,Bahrain Grand Prix,ALO,McLaren,+1 Lap,56,57,7,5487.060999,5622.184821,0.024625901192756094
2018,2,2018-02,Bahrain Grand Prix,VAN,McLaren,+1 Lap,56,57,8,5487.060999,5631.934875,0.02640281856287041
2018,2,2018-02,Bahrain Grand Prix,ERI,Kick Sauber,+1 Lap,56,57,9,5487.060999,5636.440928,0.02722403287064301
2018,2,2018-02,Bahrain Grand Prix,OCO,Force India,+1 Lap,56,57,10,5487.060999,5642.679375,0.028360970659586426
2018,2,2018-02,Bahrain Grand Prix,SAI,Alpine,+1 Lap,56,57,11,5487.060999,5649.417589,0.02958898944801014
2018,2,2018-02,Bahrain Grand Prix,LEC,Kick Sauber,+1 Lap,56,57,12,5487.060999,5654.781696,0.030566581459649633
2018,2,2018-02,Bahrain Grand Prix,GRO,Haas F1 Team,+1 Lap,56,57,13,5487.060999,5658.314678,0.031210456568864453
2018,2,2018-02,Bahrain Grand Prix,STR,Williams,+1 Lap,55,57,14,5487.060999,5651.703381,0.030005568013551365
2018,2,2018-02,Bahrain Grand Prix,SIR,Williams,+1 Lap,56,57,15,5487.060999,5679.312053,0.03503716361728748
2018,2,2018-02,Bahrain Grand Prix,PER,Force India,+1 Lap,56,57,16,5487.060999,5650.603392,0.029805098399635854
2018,2,2018-02,Bahrain Grand Prix,HAR,Racing Bulls,+1 Lap,56,57,17,5487.060999,5650.630875,0.029810107091903904
2018,2,2018-02,Bahrain Grand Prix,RAI,Ferrari,Wheel,34,57,18,5487.060999,,
2018,2,2018-02,Bahrain Grand Prix,VER,Red Bull Racing,Puncture,3,57,19,5487.060999,,
2018,2,2018-02,Bahrain Grand Prix,RIC,Red Bull Racing,Electrical,1,57,20,5487.060999,,
2018,3,2018-03,Chinese Grand Prix,RIC,Red Bull Racing,Finished,56,56,1,5424.142999,5426.907999,0.0005097579471098346
2018,3,2018-03,Chinese Grand Prix,BOT,Mercedes,Finished,56,56,2,5424.142999,5424.142999,0.0
2018,3,2018-03,Chinese Grand Prix,RAI,Ferrari,Finished,56,56,3,5424.142999,5588.934999,0.03038120492589913
2018,3,2018-03,Chinese Grand Prix,HAM,Mercedes,Finished,56,56,4,5424.142999,5439.595,0.0028487451386973728
2018,3,2018-03,Chinese Grand Prix,VER,Red Bull Racing,Finished,56,56,5,5424.142999,5429.667999,0.0010185940896136891
2018,3,2018-03,Chinese Grand Prix,HUL,Alpine,Finished,56,56,6,5424.142999,5606.128999,0.033551106604960745
2018,3,2018-03,Chinese Grand Prix,ALO,McLaren,Finished,56,56,7,5424.142999,5767.018999,0.06321293521634908
2018,3,2018-03,Chinese Grand Prix,VET,Ferrari,Finished,56,56,8,5424.142999,5452.093999,0.0051530721083778985
2018,3,2018-03,Chinese Grand Prix,SAI,Alpine,Finished,56,56,9,5424.142999,5621.164999,0.036323157416078944
2018,3,2018-03,Chinese Grand Prix,MAG,Haas F1 Team,Finished,56,56,10,5424.142999,5775.973999,0.06486388726566839
2018,3,2018-03,Chinese Grand Prix,OCO,Force India,Finished,56,56,11,5424.142999,5780.429999,0.06568539953052221
2018,3,2018-03,Chinese Grand Prix,PER,Force India,Finished,56,56,12,5424.142999,5781.104999,0.0658098431523304
2018,3,2018-03,Chinese Grand Prix,VAN,McLaren,Finished,56,56,13,5424.142999,5785.752999,0.06666675271405409
2018,3,2018-03,Chinese Grand Prix,STR,Williams,Finished,56,56,14,5424.142999,5791.87,0.067794488653377
2018,3,2018-03,Chinese Grand Prix,SIR,Williams,Finished,56,56,15,5424.142999,5794.621,0.0683016655475901
2018,3,2018-03,Chinese Grand Prix,ERI,Kick Sauber,Finished,56,56,16,5424.142999,5486.787999,0.011549289908387328
2018,3,2018-03,Chinese Grand Prix,GRO,Haas F1 Team,Finished,56,56,17,5424.142999,5801.675999,0.06960233166227425
2018,3,2018-03,Chinese Grand Prix,GAS,Racing Bulls,Finished,56,56,18,5424.142999,5629.870999,0.03792820359602023
2018,3,2018-03,Chinese Grand Prix,LEC,Kick Sauber,Finished,56,56,19,5424.142999,5501.503999,0.014262345224722583
2018,3,2018-03,Chinese Grand Prix,HAR,Racing Bulls,Collision damage,51,56,20,5424.142999,5500.649411,0.01410479259379871
2018,4,2018-04,Azerbaijan Grand Prix,HAM,Mercedes,Finished,51,51,1,4267.819187,4366.413999,0.023101918727092663
2018,4,2018-04,Azerbaijan Grand Prix,RAI,Ferrari,Finished,51,51,2,4267.819187,4554.080999,0.06707449389420428
2018,4,2018-04,Azerbaijan Grand Prix,PER,Force India,Finished,51,51,3,4267.819187,4554.516999,0.06717665379857163
2018,4,2018-04,Azerbaijan Grand Prix,VET,Ferrari,Finished,51,51,4,4267.819187,4358.995999,0.021363794482608167
2018,4,2018-04,Azerbaijan Grand Prix,SAI,Alpine,Finished,51,51,5,4267.819187,4569.237999,0.07062595644120484
2018,4,2018-04,Azerbaijan Grand Prix,LEC,Kick Sauber,Finished,51,51,6,4267.819187,4587.954999,0.07501156866606484
