Season,Round,Season_Round,Grand_Prix,Driver,Team,Quali_Position,Pole_Gap_Position,Pole_Time,Quali_Time,Normalised_Pole_Gap
2021,1,2021-01,Bahrain Grand Prix,VER,Red Bull Racing,1,1,88.997,88.997,0
2021,1,2021-01,Bahrain Grand Prix,HAM,Mercedes,2,2,88.997,89.385,0.004359698
2021,1,2021-01,Bahrain Grand Prix,BOT,Mercedes,3,3,88.997,89.586,0.006618201
2021,1,2021-01,Bahrain Grand Prix,LEC,Ferrari,4,4,88.997,89.678,0.007651943
2021,1,2021-01,Bahrain Grand Prix,GAS,Racing Bulls,5,5,88.997,89.809,0.009123903
2021,1,2021-01,Bahrain Grand Prix,RIC,McLaren,6,6,88.997,89.927,0.01044979
2021,1,2021-01,Bahrain Grand Prix,NOR,McLaren,7,7,88.997,89.974,0.010977898
2021,1,2021-01,Bahrain Grand Prix,SAI,Ferrari,8,8,88.997,90.009,0.01137117
2021,1,2021-01,Bahrain Grand Prix,ALO,Alpine,9,9,88.997,90.249,0.01406789
2021,1,2021-01,Bahrain Grand Prix,STR,Aston Martin,10,10,88.997,90.601,0.018023079
2021,1,2021-01,Bahrain Grand Prix,PER,Red Bull Racing,11,12,88.997,90.659,0.018674787
2021,1,2021-01,Bahrain Grand Prix,GIO,Kick Sauber,12,13,88.997,90.708,0.019225367
2021,1,2021-01,Bahrain Grand Prix,TSU,Racing Bulls,13,11,88.997,90.607,0.018090497
2021,1,2021-01,Bahrain Grand Prix,RAI,Kick Sauber,14,14,88.997,91.238,0.025180624
2021,1,2021-01,Bahrain Grand Prix,RUS,Williams,15,15,88.997,91.316,0.026057058
2021,1,2021-01,Bahrain Grand Prix,OCO,Alpine,16,16,88.997,91.724,0.030641482
2021,1,2021-01,Bahrain Grand Prix,LAT,Williams,17,17,88.997,91.936,0.033023585
2021,1,2021-01,Bahrain Grand Prix,VET,Aston Martin,18,18,88.997,92.056,0.034371945
2021,1,2021-01,Bahrain Grand Prix,MSC,Haas F1 Team,19,19,88.997,92.449,0.038787824
2021,1,2021-01,Bahrain Grand Prix,MAZ,Haas F1 Team,20,20,88.997,93.273,0.048046563
2021,2,2021-02,Emilia Romagna Grand Prix,HAM,Mercedes,1,1,74.411,74.411,0
2021,2,2021-02,Emilia Romagna Grand Prix,PER,Red Bull Racing,2,2,74.411,74.446,0.000470361
2021,2,2021-02,Emilia Romagna Grand Prix,VER,Red Bull Racing,3,3,74.411,74.498,0.001169182
2021,2,2021-02,Emilia Romagna Grand Prix,LEC,Ferrari,4,6,74.411,74.74,0.004421389
2021,2,2021-02,Emilia Romagna Grand Prix,GAS,Racing Bulls,5,7,74.411,74.79,0.005093333
2021,2,2021-02,Emilia Romagna Grand Prix,RIC,McLaren,6,8,74.411,74.826,0.005577132
2021,2,2021-02,Emilia Romagna Grand Prix,NOR,McLaren,7,5,74.411,74.718,0.004125734
2021,2,2021-02,Emilia Romagna Grand Prix,BOT,Mercedes,8,4,74.411,74.672,0.003507546
2021,2,2021-02,Emilia Romagna Grand Prix,OCO,Alpine,9,9,74.411,75.117,0.009487845
2021,2,2021-02,Emilia Romagna Grand Prix,STR,Aston Martin,10,10,74.411,75.138,0.009770061
2021,2,2021-02,Emilia Romagna Grand Prix,SAI,Ferrari,11,11,74.411,75.199,0.010589832
2021,2,2021-02,Emilia Romagna Grand Prix,RUS,Williams,12,12,74.411,75.261,0.011423042
2021,2,2021-02,Emilia Romagna Grand Prix,VET,Aston Martin,13,13,74.411,75.394,0.013210412
2021,2,2021-02,Emilia Romagna Grand Prix,LAT,Williams,14,14,74.411,75.593,0.015884748
2021,2,2021-02,Emilia Romagna Grand Prix,ALO,Alpine,15,14,74.411,75.593,0.015884748
2021,2,2021-02,Emilia Romagna Grand Prix,RAI,Kick Sauber,16,16,74.411,75.974,0.021004959
2021,2,2021-02,Emilia Romagna Grand Prix,GIO,Kick Sauber,17,17,74.411,76.122,0.022993912
2021,2,2021-02,Emilia Romagna Grand Prix,MSC,Haas F1 Team,18,18,74.411,76.279,0.025103815
2021,2,2021-02,Emilia Romagna Grand Prix,MAZ,Haas F1 Team,19,19,74.411,76.797,0.032065152
2021,3,2021-03,Portuguese Grand Prix,BOT,Mercedes,1,2,77.968,78.348,0.004873794
2021,3,2021-03,Portuguese Grand Prix,HAM,Mercedes,2,1,77.968,77.968,0
2021,3,2021-03,Portuguese Grand Prix,VER,Red Bull Racing,3,5,77.968,78.65,0.008747178
2021,3,2021-03,Portuguese Grand Prix,PER,Red Bull Racing,4,8,77.968,78.845,0.011248204
2021,3,2021-03,Portuguese Grand Prix,SAI,Ferrari,5,7,77.968,78.813,0.01083778
2021,3,2021-03,Portuguese Grand Prix,OCO,Alpine,6,4,77.968,78.586,0.007926329
2021,3,2021-03,Portuguese Grand Prix,NOR,McLaren,7,3,77.968,78.481,0.006579622
2021,3,2021-03,Portuguese Grand Prix,LEC,Ferrari,8,6,77.968,78.769,0.010273446
2021,3,2021-03,Portuguese Grand Prix,GAS,Racing Bulls,9,10,77.968,79.052,0.01390314
2021,3,2021-03,Portuguese Grand Prix,VET,Aston Martin,10,9,77.968,78.97,0.012851426
2021,3,2021-03,Portuguese Grand Prix,RUS,Williams,11,11,77.968,79.109,0.014634209
2021,3,2021-03,Portuguese Grand Prix,GIO,Kick Sauber,12,12,77.968,79.216,0.016006567
2021,3,2021-03,Portuguese Grand Prix,ALO,Alpine,13,13,77.968,79.456,0.019084753
2021,3,2021-03,Portuguese Grand Prix,TSU,Racing Bulls,14,14,77.968,79.463,0.019174533
2021,3,2021-03,Portuguese Grand Prix,RAI,Kick Sauber,15,15,77.968,79.748,0.022829879
2021,3,2021-03,Portuguese Grand Prix,RIC,McLaren,16,16,77.968,79.839,0.023997024
2021,3,2021-03,Portuguese Grand Prix,STR,Aston Martin,17,17,77.968,79.913,0.024946132
2021,3,2021-03,Portuguese Grand Prix,LAT,Williams,18,18,77.968,80.285,0.02971732
2021,3,2021-03,Portuguese Grand Prix,MSC,Haas F1 Team,19,19,77.968,80.452,0.031859224
2021,3,2021-03,Portuguese Grand Prix,MAZ,Haas F1 Team,20,20,77.968,80.912,0.037759081
2021,4,2021-04,Spanish Grand Prix,HAM,Mercedes,1,1,76.741,76.741,0
2021,4,2021-04,Spanish Grand Prix,VER,Red Bull Racing,2,2,76.741,76.777,0.00046911
2021,4,2021-04,Spanish Grand Prix,BOT,Mercedes,3,3,76.741,76.873,0.001720071
2021,4,2021-04,Spanish Grand Prix,LEC,Ferrari,4,4,76.741,77.51,0.010020719
2021,4,2021-04,Spanish Grand Prix,OCO,Alpine,5,5,76.741,77.58,0.010932878
2021,4,2021-04,Spanish Grand Prix,SAI,Ferrari,6,6,76.741,77.62,0.011454112
2021,4,2021-04,Spanish Grand Prix,RIC,McLaren,7,7,76.741,77.622,0.011480174
2021,4,2021-04,Spanish Grand Prix,PER,Red Bull Racing,8,8,76.741,77.669,0.012092623
2021,4,2021-04,Spanish Grand Prix,NOR,McLaren,9,9,76.741,77.696,0.012444456
2021,4,2021-04,Spanish Grand Prix,ALO,Alpine,10,10,76.741,77.966,0.015962784
2021,4,2021-04,Spanish Grand Prix,STR,Aston Martin,11,11,76.741,77.974,0.016067031
2021,4,2021-04,Spanish Grand Prix,GAS,Racing Bulls,12,12,76.741,77.982,0.016171277
2021,4,2021-04,Spanish Grand Prix,VET,Aston Martin,13,13,76.741,78.079,0.017435269
2021,4,2021-04,Spanish Grand Prix,GIO,Kick Sauber,14,14,76.741,78.356,0.021044813
2021,4,2021-04,Spanish Grand Prix,RUS,Williams,15,15,76.741,78.445,0.022204558
