Season,Round,Season_Round,Grand_Prix,Driver,Team,Quali_Position,Pole_Gap_Position,Pole_Time,Quali_Time,Normalised_Pole_Gap
2020,1,2020-01,Austrian Grand Prix,BOT,Mercedes,1,1,62.939,62.939,0
2020,1,2020-01,Austrian Grand Prix,HAM,Mercedes,2,2,62.939,62.951,0.000190661
2020,1,2020-01,Austrian Grand Prix,VER,Red Bull Racing,3,3,62.939,63.477,0.008547959
2020,1,2020-01,Austrian Grand Prix,NOR,McLaren,4,4,62.939,63.626,0.010915331
2020,1,2020-01,Austrian Grand Prix,ALB,Red Bull Racing,5,5,62.939,63.746,0.012821939
2020,1,2020-01,Austrian Grand Prix,PER,Aston Martin,6,6,62.939,63.86,0.014633216
2020,1,2020-01,Austrian Grand Prix,LEC,Ferrari,7,7,62.939,63.923,0.015634185
2020,1,2020-01,Austrian Grand Prix,SAI,McLaren,8,9,62.939,63.971,0.016396829
2020,1,2020-01,Austrian Grand Prix,STR,Aston Martin,9,8,62.939,63.955,0.016142614
2020,1,2020-01,Austrian Grand Prix,RIC,Alpine,10,10,62.939,64.023,0.017223025
2020,1,2020-01,Austrian Grand Prix,VET,Ferrari,11,11,62.939,64.206,0.020130603
2020,1,2020-01,Austrian Grand Prix,GAS,Racing Bulls,12,12,62.939,64.305,0.021703554
2020,1,2020-01,Austrian Grand Prix,KVY,Racing Bulls,13,13,62.939,64.431,0.023705493
2020,1,2020-01,Austrian Grand Prix,OCO,Alpine,14,14,62.939,64.643,0.027073833
2020,1,2020-01,Austrian Grand Prix,GRO,Haas F1 Team,15,15,62.939,64.691,0.027836477
2020,1,2020-01,Austrian Grand Prix,MAG,Haas F1 Team,16,16,62.939,65.164,0.03535169
2020,1,2020-01,Austrian Grand Prix,RUS,Williams,17,17,62.939,65.167,0.035399355
2020,1,2020-01,Austrian Grand Prix,GIO,Kick Sauber,18,18,62.939,65.175,0.035526462
2020,1,2020-01,Austrian Grand Prix,RAI,Kick Sauber,19,19,62.939,65.224,0.036304994
2020,1,2020-01,Austrian Grand Prix,LAT,Williams,20,20,62.939,65.757,0.044773511
2020,2,2020-02,Styrian Grand Prix,HAM,Mercedes,1,1,77.825,77.825,0
2020,2,2020-02,Styrian Grand Prix,VER,Red Bull Racing,2,2,77.825,77.938,0.001451976
2020,2,2020-02,Styrian Grand Prix,SAI,McLaren,3,4,77.825,78.59,0.009829746
2020,2,2020-02,Styrian Grand Prix,BOT,Mercedes,4,5,77.825,78.657,0.010690652
2020,2,2020-02,Styrian Grand Prix,OCO,Alpine,5,7,77.825,78.764,0.012065532
2020,2,2020-02,Styrian Grand Prix,NOR,McLaren,6,3,77.825,78.448,0.00800514
2020,2,2020-02,Styrian Grand Prix,ALB,Red Bull Racing,7,8,77.825,79.014,0.015277867
2020,2,2020-02,Styrian Grand Prix,GAS,Racing Bulls,8,6,77.825,78.744,0.011808545
2020,2,2020-02,Styrian Grand Prix,RIC,Alpine,9,9,77.825,79.229,0.018040475
2020,2,2020-02,Styrian Grand Prix,VET,Ferrari,10,10,77.825,79.545,0.022100867
2020,2,2020-02,Styrian Grand Prix,LEC,Ferrari,11,11,77.825,79.628,0.023167363
2020,2,2020-02,Styrian Grand Prix,RUS,Williams,12,12,77.825,79.636,0.023270157
2020,2,2020-02,Styrian Grand Prix,STR,Aston Martin,13,13,77.825,79.645,0.023385801
2020,2,2020-02,Styrian Grand Prix,KVY,Racing Bulls,14,14,77.825,79.717,0.024310954
2020,2,2020-02,Styrian Grand Prix,MAG,Haas F1 Team,15,15,77.825,80.211,0.030658529
2020,2,2020-02,Styrian Grand Prix,RAI,Kick Sauber,16,16,77.825,81.372,0.045576614
2020,2,2020-02,Styrian Grand Prix,PER,Aston Martin,17,17,77.825,81.607,0.048596209
2020,2,2020-02,Styrian Grand Prix,LAT,Williams,18,18,77.825,81.759,0.050549309
2020,2,2020-02,Styrian Grand Prix,GIO,Kick Sauber,19,19,77.825,81.831,0.051474462
2020,3,2020-03,Hungarian Grand Prix,HAM,Mercedes,1,1,73.447,73.447,0
2020,3,2020-03,Hungarian Grand Prix,BOT,Mercedes,2,2,73.447,73.554,0.001456833
2020,3,2020-03,Hungarian Grand Prix,STR,Aston Martin,3,3,73.447,74.377,0.012662192
2020,3,2020-03,Hungarian Grand Prix,PER,Aston Martin,4,4,73.447,74.545,0.014949555
2020,3,2020-03,Hungarian Grand Prix,VET,Ferrari,5,5,73.447,74.774,0.01806745
2020,3,2020-03,Hungarian Grand Prix,LEC,Ferrari,6,6,73.447,74.817,0.018652906
2020,3,2020-03,Hungarian Grand Prix,VER,Red Bull Racing,7,7,73.447,74.849,0.019088594
2020,3,2020-03,Hungarian Grand Prix,NOR,McLaren,8,8,73.447,74.966,0.02068158
2020,3,2020-03,Hungarian Grand Prix,SAI,McLaren,9,9,73.447,75.027,0.021512111
2020,3,2020-03,Hungarian Grand Prix,GAS,Racing Bulls,10,10,73.447,75.508,0.028061051
2020,3,2020-03,Hungarian Grand Prix,RIC,Alpine,11,12,73.447,75.661,0.030144186
2020,3,2020-03,Hungarian Grand Prix,RUS,Williams,12,11,73.447,75.585,0.029109426
2020,3,2020-03,Hungarian Grand Prix,ALB,Red Bull Racing,13,13,73.447,75.715,0.03087941
2020,3,2020-03,Hungarian Grand Prix,OCO,Alpine,14,14,73.447,75.719,0.030933871
2020,3,2020-03,Hungarian Grand Prix,LAT,Williams,15,15,73.447,76.105,0.036189361
2020,3,2020-03,Hungarian Grand Prix,MAG,Haas F1 Team,16,16,73.447,76.152,0.036829278
2020,3,2020-03,Hungarian Grand Prix,KVY,Racing Bulls,17,17,73.447,76.204,0.037537272
2020,3,2020-03,Hungarian Grand Prix,GRO,Haas F1 Team,18,18,73.447,76.407,0.04030117
2020,3,2020-03,Hungarian Grand Prix,GIO,Kick Sauber,19,19,73.447,76.506,0.04164908
2020,3,2020-03,Hungarian Grand Prix,RAI,Kick Sauber,20,20,73.447,76.614,0.043119528
2020,4,2020-04,British Grand Prix,HAM,Mercedes,1,1,84.303,84.303,0
2020,4,2020-04,British Grand Prix,BOT,Mercedes,2,2,84.303,84.616,0.003712798
2020,4,2020-04,British Grand Prix,VER,Red Bull Racing,3,3,84.303,85.325,0.012122937
2020,4,2020-04,British Grand Prix,LEC,Ferrari,4,4,84.303,85.427,0.013332859
2020,4,2020-04,British Grand Prix,NOR,McLaren,5,5,84.303,85.782,0.01754386
2020,4,2020-04,British Grand Prix,STR,Aston Martin,6,6,84.303,85.839,0.018219992
2020,4,2020-04,British Grand Prix,SAI,McLaren,7,7,84.303,85.965,0.019714601
2020,4,2020-04,British Grand Prix,RIC,Alpine,8,8,84.303,86.009,0.020236528
2020,4,2020-04,British Grand Prix,OCO,Alpine,9,9,84.303,86.209,0.022608923
2020,4,2020-04,British Grand Prix,VET,Ferrari,10,11,84.303,86.339,0.024150979
2020,4,2020-04,British Grand Prix,GAS,Racing Bulls,11,12,84.303,86.343,0.024198427
2020,4,2020-04,British Grand Prix,ALB,Red Bull Racing,12,13,84.303,86.545,0.026594546
2020,4,2020-04,British Grand Prix,HUL,Aston Martin,13,10,84.303,86.327,0.024008636
2020,4,2020-04,British Grand Prix,KVY,Racing Bulls,14,15,84.303,86.744,0.028955079
2020,4,2020-04,British Grand Prix,RUS,Williams,15,14,84.303,86.732,0.028812735
2020,4,2020-04,British Grand Prix,MAG,Haas F1 Team,16,16,84.303,87.158,0.033865936
2020,4,2020-04,British Grand Prix,GIO,Kick Sauber,17,17,84.303,87.164,0.033937108
2020,4,2020-04,British Grand Prix,RAI,Kick Sauber,18,18,84.303,87.366,0.036333227
2020,4,2020-04,British Grand Prix,GRO,Haas F1 Team,19,19,84.303,87.643,0.039618993
2020,4,2020-04,British Grand Prix,LAT,Williams,20,20,84.303,87.705,0.040354436
2020,5,2020-05,70th Anniversary Grand Prix,BOT,Mercedes,1,1,85.154,85.154,0
2020,5,2020-05,70th Anniversary Grand Prix,HAM,Mercedes,2,2,85.154,85.217,0.000739836
2020,5,2020-05,70th Anniversary Grand Prix,HUL,Aston Martin,3,3,85.154,86.082,0.010897903
2020,5,2020-05,70th Anniversary Grand Prix,VER,Red Bull Racing,4,4,85.154,86.176,0.012001785
2020,5,2020-05,70th Anniversary Grand Prix,RIC,Alpine,5,5,85.154,86.297,0.01342274
2020,5,2020-05,70th Anniversary Grand Prix,STR,Aston Martin,6,6,85.154,86.428,0.014961129
2020,5,2020-05,70th Anniversary Grand Prix,GAS,Racing Bulls,7,7,85.154,86.523,0.016076755
2020,5,2020-05,70th Anniversary Grand Prix,LEC,Ferrari,8,8,85.154,86.614,0.017145407
2020,5,2020-05,70th Anniversary Grand Prix,ALB,Red Bull Racing,9,9,85.154,86.642,0.017474223
2020,5,2020-05,70th Anniversary Grand Prix,NOR,McLaren,10,10,85.154,86.778,0.01907133
2020,5,2020-05,70th Anniversary Grand Prix,OCO,Alpine,11,11,85.154,87.011,0.021807549
2020,5,2020-05,70th Anniversary Grand Prix,VET,Ferrari,12,12,85.154,87.078,0.022594358
2020,5,2020-05,70th Anniversary Grand Prix,SAI,McLaren,13,13,85.154,87.083,0.022653076
2020,5,2020-05,70th Anniversary Grand Prix,GRO,Haas F1 Team,14,14,85.154,87.254,0.024661202
2020,5,2020-05,70th Anniversary Grand Prix,RUS,Williams,15,15,85.154,87.455,0.027021631
2020,5,2020-05,70th Anniversary Grand Prix,KVY,Racing Bulls,16,16,85.154,87.882,0.032036076
2020,5,2020-05,70th Anniversary Grand Prix,MAG,Haas F1 Team,17,17,85.154,88.236,0.03619325
2020,5,2020-05,70th Anniversary Grand Prix,LAT,Williams,18,18,85.154,88.43,0.038471475
2020,5,2020-05,70th Anniversary Grand Prix,GIO,Kick Sauber,19,19,85.154,88.433,0.038506705
2020,5,2020-05,70th Anniversary Grand Prix,RAI,Kick Sauber,20,20,85.154,88.493,0.039211311
2020,6,2020-06,Spanish Grand Prix,HAM,Mercedes,1,1,75.584,75.584,0
2020,6,2020-06,Spanish Grand Prix,BOT,Mercedes,2,2,75.584,75.643,0.000780588
2020,6,2020-06,Spanish Grand Prix,VER,Red Bull Racing,3,3,75.584,76.292,0.009367062
2020,6,2020-06,Spanish Grand Prix,PER,Aston Martin,4,4,75.584,76.482,0.011880821
2020,6,2020-06,Spanish Grand Prix,STR,Aston Martin,5,5,75.584,76.589,0.013296465
2020,6,2020-06,Spanish Grand Prix,ALB,Red Bull Racing,6,9,75.584,77.029,0.019117803
2020,6,2020-06,Spanish Grand Prix,SAI,McLaren,7,7,75.584,76.876,0.017093565
2020,6,2020-06,Spanish Grand Prix,NOR,McLaren,8,10,75.584,77.084,0.01984547
2020,6,2020-06,Spanish Grand Prix,LEC,Ferrari,9,8,75.584,76.953,0.018112299
2020,6,2020-06,Spanish Grand Prix,GAS,Racing Bulls,10,6,75.584,76.8,0.016088061
2020,6,2020-06,Spanish Grand Prix,VET,Ferrari,11,11,75.584,77.168,0.020956816
2020,6,2020-06,Spanish Grand Prix,KVY,Racing Bulls,12,12,75.584,77.192,0.021274344
2020,6,2020-06,Spanish Grand Prix,RIC,Alpine,13,13,75.584,77.198,0.021353726
2020,6,2020-06,Spanish Grand Prix,RAI,Kick Sauber,14,14,75.584,77.386,0.023841025
2020,6,2020-06,Spanish Grand Prix,OCO,Alpine,15,15,75.584,77.567,0.026235711
2020,6,2020-06,Spanish Grand Prix,MAG,Haas F1 Team,16,16,75.584,77.908,0.030747248
2020,6,2020-06,Spanish Grand Prix,GRO,Haas F1 Team,17,17,75.584,78.089,0.033141935
2020,6,2020-06,Spanish Grand Prix,RUS,Williams,18,18,75.584,78.099,0.033274238
2020,6,2020-06,Spanish Grand Prix,LAT,Williams,19,19,75.584,78.532,0.039002964
2020,6,2020-06,Spanish Grand Prix,GIO,Kick Sauber,20,20,75.584,78.697,0.041185965
2020,7,2020-07,Belgian Grand Prix,HAM,Mercedes,1,1,101.252,101.252,0
2020,7,2020-07,Belgian Grand Prix,BOT,Mercedes,2,2,101.252,101.763,0.005046814
2020,7,2020-07,Belgian Grand Prix,VER,Red Bull Racing,3,3,101.252,101.778,0.005194959
