Season,Round,Season_Round,Grand_Prix,Driver,Team,Quali_Position,Pole_Gap_Position,Pole_Time,Quali_Time,Normalised_Pole_Gap
2022,1,2022-01,Bahrain Grand Prix,LEC,Ferrari,1,1,90.558,90.558,0
2022,1,2022-01,Bahrain Grand Prix,VER,Red Bull Racing,2,2,90.558,90.681,0.001358246
2022,1,2022-01,Bahrain Grand Prix,SAI,Ferrari,3,3,90.558,90.687,0.001424501
2022,1,2022-01,Bahrain Grand Prix,PER,Red Bull Racing,4,4,90.558,90.921,0.004008481
2022,1,2022-01,Bahrain Grand Prix,HAM,Mercedes,5,5,90.558,91.048,0.005410897
2022,1,2022-01,Bahrain Grand Prix,BOT,Kick Sauber,6,8,90.558,91.56,0.011064732
2022,1,2022-01,Bahrain Grand Prix,MAG,Haas F1 Team,7,7,90.558,91.461,0.00997151
2022,1,2022-01,Bahrain Grand Prix,ALO,Alpine,8,9,90.558,91.621,0.011738333
2022,1,2022-01,Bahrain Grand Prix,RUS,Mercedes,9,6,90.558,91.252,0.007663597
2022,1,2022-01,Bahrain Grand Prix,GAS,Racing Bulls,10,10,90.558,91.635,0.01189293
2022,1,2022-01,Bahrain Grand Prix,OCO,Alpine,11,11,90.558,91.782,0.0135162
2022,1,2022-01,Bahrain Grand Prix,MSC,Haas F1 Team,12,12,90.558,91.998,0.015901411
2022,1,2022-01,Bahrain Grand Prix,NOR,McLaren,13,13,90.558,92.008,0.016011838
2022,1,2022-01,Bahrain Grand Prix,ALB,Williams,14,15,90.558,92.664,0.023255814
2022,1,2022-01,Bahrain Grand Prix,ZHO,Kick Sauber,15,14,90.558,92.493,0.021367521
2022,1,2022-01,Bahrain Grand Prix,TSU,Racing Bulls,16,16,90.558,92.75,0.024205482
2022,1,2022-01,Bahrain Grand Prix,HUL,Aston Martin,17,17,90.558,92.777,0.024503633
2022,1,2022-01,Bahrain Grand Prix,RIC,McLaren,18,18,90.558,92.945,0.026358798
2022,1,2022-01,Bahrain Grand Prix,STR,Aston Martin,19,19,90.558,93.032,0.027319508
2022,1,2022-01,Bahrain Grand Prix,LAT,Williams,20,20,90.558,93.634,0.033967181
2022,2,2022-02,Saudi Arabian Grand Prix,PER,Red Bull Racing,1,1,88.2,88.2,0
2022,2,2022-02,Saudi Arabian Grand Prix,LEC,Ferrari,2,2,88.2,88.225,0.000283447
2022,2,2022-02,Saudi Arabian Grand Prix,SAI,Ferrari,3,3,88.2,88.402,0.002290249
2022,2,2022-02,Saudi Arabian Grand Prix,VER,Red Bull Racing,4,4,88.2,88.461,0.002959184
2022,2,2022-02,Saudi Arabian Grand Prix,OCO,Alpine,5,5,88.2,89.068,0.00984127
2022,2,2022-02,Saudi Arabian Grand Prix,RUS,Mercedes,6,6,88.2,89.104,0.010249433
2022,2,2022-02,Saudi Arabian Grand Prix,ALO,Alpine,7,7,88.2,89.147,0.010736961
2022,2,2022-02,Saudi Arabian Grand Prix,BOT,Kick Sauber,8,8,88.2,89.183,0.011145125
2022,2,2022-02,Saudi Arabian Grand Prix,GAS,Racing Bulls,9,9,88.2,89.254,0.011950113
2022,2,2022-02,Saudi Arabian Grand Prix,MAG,Haas F1 Team,10,10,88.2,89.546,0.015260771
2022,2,2022-02,Saudi Arabian Grand Prix,NOR,McLaren,11,11,88.2,89.651,0.016451247
2022,2,2022-02,Saudi Arabian Grand Prix,RIC,McLaren,12,12,88.2,89.773,0.017834467
2022,2,2022-02,Saudi Arabian Grand Prix,ZHO,Kick Sauber,13,13,88.2,89.819,0.018356009
2022,2,2022-02,Saudi Arabian Grand Prix,MSC,Haas F1 Team,14,14,88.2,89.92,0.019501134
2022,2,2022-02,Saudi Arabian Grand Prix,STR,Aston Martin,15,15,88.2,90.256,0.023310658
2022,2,2022-02,Saudi Arabian Grand Prix,HAM,Mercedes,16,16,88.2,90.343,0.024297052
2022,2,2022-02,Saudi Arabian Grand Prix,ALB,Williams,17,17,88.2,90.492,0.025986395
2022,2,2022-02,Saudi Arabian Grand Prix,HUL,Aston Martin,18,18,88.2,90.543,0.026564626
2022,2,2022-02,Saudi Arabian Grand Prix,LAT,Williams,19,19,88.2,91.817,0.04100907
2022,3,2022-03,Australian Grand Prix,LEC,Ferrari,1,1,77.868,77.868,0
2022,3,2022-03,Australian Grand Prix,VER,Red Bull Racing,2,2,77.868,78.154,0.003672882
2022,3,2022-03,Australian Grand Prix,PER,Red Bull Racing,3,3,77.868,78.24,0.004777315
2022,3,2022-03,Australian Grand Prix,NOR,McLaren,4,5,77.868,78.703,0.010723275
2022,3,2022-03,Australian Grand Prix,HAM,Mercedes,5,7,77.868,78.825,0.012290029
2022,3,2022-03,Australian Grand Prix,RUS,Mercedes,6,8,77.868,78.933,0.013676992
2022,3,2022-03,Australian Grand Prix,RIC,McLaren,7,9,77.868,79.032,0.014948374
2022,3,2022-03,Australian Grand Prix,OCO,Alpine,8,10,77.868,79.061,0.015320799
2022,3,2022-03,Australian Grand Prix,SAI,Ferrari,9,4,77.868,78.469,0.00771819
2022,3,2022-03,Australian Grand Prix,ALO,Alpine,10,6,77.868,78.815,0.012161607
2022,3,2022-03,Australian Grand Prix,GAS,Racing Bulls,11,11,77.868,79.226,0.01743977
2022,3,2022-03,Australian Grand Prix,BOT,Kick Sauber,12,12,77.868,79.251,0.017760826
2022,3,2022-03,Australian Grand Prix,TSU,Racing Bulls,13,13,77.868,79.424,0.019982535
2022,3,2022-03,Australian Grand Prix,ZHO,Kick Sauber,14,14,77.868,79.91,0.026223866
2022,3,2022-03,Australian Grand Prix,MSC,Haas F1 Team,15,15,77.868,80.104,0.028715262
2022,3,2022-03,Australian Grand Prix,ALB,Williams,16,16,77.868,80.135,0.029113371
